Order Date 2,OrderYear,OrderMonth,OrderQuarter,Order Date Header
1/1/2021,2021,Jan,Q1,102001
1/1/2022,2022,Jan,Q1,103001
7/19/2021,2021,Jul,Q3,102200
11/13/2021,2021,Nov,Q4,102317
3/6/2021,2021,Mar,Q1,102065
4/4/2021,2021,Apr,Q2,102094
5/1/2021,2021,May,Q2,102121
5/3/2021,2021,May,Q2,102123
5/7/2021,2021,May,Q2,102127
5/9/2021,2021,May,Q2,102129
5/13/2021,2021,May,Q2,102133
5/15/2021,2021,May,Q2,102135
5/30/2021,2021,May,Q2,102150
6/3/2021,2021,Jun,Q2,102154
6/5/2021,2021,Jun,Q2,102156
6/10/2021,2021,Jun,Q2,102161
6/12/2021,2021,Jun,Q2,102163
6/25/2021,2021,Jun,Q2,102176
6/27/2021,2021,Jun,Q2,102178
7/2/2021,2021,Jul,Q3,102183
7/8/2021,2021,Jul,Q3,102189
7/10/2021,2021,Jul,Q3,102191
7/15/2021,2021,Jul,Q3,102196
7/22/2021,2021,Jul,Q3,102203
7/24/2021,2021,Jul,Q3,102205
7/29/2021,2021,Jul,Q3,102210
7/31/2021,2021,Jul,Q3,102212
8/5/2021,2021,Aug,Q3,102217
8/7/2021,2021,Aug,Q3,102219
8/13/2021,2021,Aug,Q3,102225
8/26/2021,2021,Aug,Q3,102238
8/28/2021,2021,Aug,Q3,102240
8/30/2021,2021,Aug,Q3,102242
9/4/2021,2021,Sep,Q3,102247
9/6/2021,2021,Sep,Q3,102249
9/11/2021,2021,Sep,Q3,102254
9/13/2021,2021,Sep,Q3,102256
9/17/2021,2021,Sep,Q3,102260
9/19/2021,2021,Sep,Q3,102262
9/23/2021,2021,Sep,Q3,102266
10/4/2021,2021,Oct,Q4,102277
10/8/2021,2021,Oct,Q4,102281
10/10/2021,2021,Oct,Q4,102283
10/15/2021,2021,Oct,Q4,102288
10/17/2021,2021,Oct,Q4,102290
10/30/2021,2021,Oct,Q4,102303
11/1/2021,2021,Nov,Q4,102305
11/6/2021,2021,Nov,Q4,102310
11/8/2021,2021,Nov,Q4,102312
4/29/2021,2021,Apr,Q2,102119
8/12/2021,2021,Aug,Q3,102224
10/2/2021,2021,Oct,Q4,102275
4/30/2021,2021,Apr,Q2,102120
5/22/2021,2021,May,Q2,102142
1/30/2021,2021,Jan,Q1,102030
1/7/2021,2021,Jan,Q1,102007
10/28/2021,2021,Oct,Q4,102301
6/20/2021,2021,Jun,Q2,102171
10/29/2021,2021,Oct,Q4,102302
11/4/2021,2021,Nov,Q4,102308
1/23/2021,2021,Jan,Q1,102023
2/12/2021,2021,Feb,Q1,102043
10/11/2021,2021,Oct,Q4,102284
5/28/2021,2021,May,Q2,102148
9/9/2021,2021,Sep,Q3,102252
8/14/2021,2021,Aug,Q3,102226
3/7/2021,2021,Mar,Q1,102066
7/11/2021,2021,Jul,Q3,102192
7/23/2021,2021,Jul,Q3,102204
6/6/2021,2021,Jun,Q2,102157
11/14/2021,2021,Nov,Q4,102318
9/3/2021,2021,Sep,Q3,102246
7/25/2021,2021,Jul,Q3,102206
6/21/2021,2021,Jun,Q2,102172
5/16/2021,2021,May,Q2,102136
4/5/2021,2021,Apr,Q2,102095
2/4/2021,2021,Feb,Q1,102035
6/28/2021,2021,Jun,Q2,102179
8/22/2021,2021,Aug,Q3,102234
9/26/2021,2021,Sep,Q3,102269
3/8/2021,2021,Mar,Q1,102067
11/11/2021,2021,Nov,Q4,102315
9/27/2021,2021,Sep,Q3,102270
2/25/2021,2021,Feb,Q1,102056
7/18/2021,2021,Jul,Q3,102199
9/30/2021,2021,Sep,Q3,102273
8/1/2021,2021,Aug,Q3,102213
10/7/2021,2021,Oct,Q4,102280
2/11/2021,2021,Feb,Q1,102042
8/15/2021,2021,Aug,Q3,102227
9/18/2021,2021,Sep,Q3,102261
3/11/2021,2021,Mar,Q1,102070
8/8/2021,2021,Aug,Q3,102220
5/31/2021,2021,May,Q2,102151
6/11/2021,2021,Jun,Q2,102162
11/15/2021,2021,Nov,Q4,102319
6/4/2021,2021,Jun,Q2,102155
10/1/2021,2021,Oct,Q4,102274
9/5/2021,2021,Sep,Q3,102248
3/1/2021,2021,Mar,Q1,102060
10/24/2021,2021,Oct,Q4,102297
10/16/2021,2021,Oct,Q4,102289
5/14/2021,2021,May,Q2,102134
2/13/2021,2021,Feb,Q1,102044
6/22/2021,2021,Jun,Q2,102173
11/18/2021,2021,Nov,Q4,102322
3/12/2021,2021,Mar,Q1,102071
5/24/2021,2021,May,Q2,102144
6/18/2021,2021,Jun,Q2,102169
10/9/2021,2021,Oct,Q4,102282
3/19/2021,2021,Mar,Q1,102078
5/10/2021,2021,May,Q2,102130
1/21/2021,2021,Jan,Q1,102021
1/9/2021,2021,Jan,Q1,102009
8/20/2021,2021,Aug,Q3,102232
3/15/2021,2021,Mar,Q1,102074
6/24/2021,2021,Jun,Q2,102175
7/16/2021,2021,Jul,Q3,102197
3/13/2021,2021,Mar,Q1,102072
5/2/2021,2021,May,Q2,102122
7/9/2021,2021,Jul,Q3,102190
10/18/2021,2021,Oct,Q4,102291
5/23/2021,2021,May,Q2,102143
10/31/2021,2021,Oct,Q4,102304
1/28/2021,2021,Jan,Q1,102028
5/21/2021,2021,May,Q2,102141
2/6/2021,2021,Feb,Q1,102037
4/22/2021,2021,Apr,Q2,102112
11/19/2021,2021,Nov,Q4,102323
10/22/2021,2021,Oct,Q4,102295
2/27/2021,2021,Feb,Q1,102058
8/29/2021,2021,Aug,Q3,102241
9/20/2021,2021,Sep,Q3,102263
8/27/2021,2021,Aug,Q3,102239
6/26/2021,2021,Jun,Q2,102177
8/16/2021,2021,Aug,Q3,102228
7/3/2021,2021,Jul,Q3,102184
7/30/2021,2021,Jul,Q3,102211
5/29/2021,2021,May,Q2,102149
10/3/2021,2021,Oct,Q4,102276
8/6/2021,2021,Aug,Q3,102218
9/24/2021,2021,Sep,Q3,102267
10/25/2021,2021,Oct,Q4,102298
10/21/2021,2021,Oct,Q4,102294
5/27/2021,2021,May,Q2,102147
6/13/2021,2021,Jun,Q2,102164
4/23/2021,2021,Apr,Q2,102113
3/21/2021,2021,Mar,Q1,102080
10/29/2020,2020,Oct,Q4,101302
7/1/2021,2021,Jul,Q3,102182
11/14/2020,2020,Nov,Q4,101318
11/20/2020,2020,Nov,Q4,101324
11/26/2020,2020,Nov,Q4,101330
7/12/2021,2021,Jul,Q3,102193
12/5/2020,2020,Dec,Q4,101339
12/13/2020,2020,Dec,Q4,101347
7/26/2021,2021,Jul,Q3,102207
4/10/2021,2021,Apr,Q2,102100
8/23/2021,2021,Aug,Q3,102235
5/6/2021,2021,May,Q2,102126
1/2/2021,2021,Jan,Q1,102002
6/14/2021,2021,Jun,Q2,102165
1/3/2021,2021,Jan,Q1,102003
5/17/2021,2021,May,Q2,102137
5/8/2021,2021,May,Q2,102128
6/19/2021,2021,Jun,Q2,102170
4/11/2021,2021,Apr,Q2,102101
8/19/2021,2021,Aug,Q3,102231
9/16/2021,2021,Sep,Q3,102259
11/12/2021,2021,Nov,Q4,102316
3/22/2021,2021,Mar,Q1,102081
4/24/2021,2021,Apr,Q2,102114
3/25/2021,2021,Mar,Q1,102084
8/21/2021,2021,Aug,Q3,102233
4/12/2021,2021,Apr,Q2,102102
6/7/2021,2021,Jun,Q2,102158
10/23/2021,2021,Oct,Q4,102296
3/26/2021,2021,Mar,Q1,102085
4/14/2021,2021,Apr,Q2,102104
4/15/2021,2021,Apr,Q2,102105
9/12/2021,2021,Sep,Q3,102255
7/17/2021,2021,Jul,Q3,102198
11/7/2021,2021,Nov,Q4,102311
2/5/2021,2021,Feb,Q1,102036
3/27/2021,2021,Mar,Q1,102086
8/9/2021,2021,Aug,Q3,102221
10/14/2021,2021,Oct,Q4,102287
9/25/2021,2021,Sep,Q3,102268
2/8/2021,2021,Feb,Q1,102039
4/25/2021,2021,Apr,Q2,102115
8/2/2021,2021,Aug,Q3,102214
9/10/2021,2021,Sep,Q3,102253
2/14/2021,2021,Feb,Q1,102045
2/15/2021,2021,Feb,Q1,102046
4/16/2021,2021,Apr,Q2,102106
3/28/2021,2021,Mar,Q1,102087
2/19/2021,2021,Feb,Q1,102050
11/5/2021,2021,Nov,Q4,102309
2/20/2021,2021,Feb,Q1,102051
2/21/2021,2021,Feb,Q1,102052
3/29/2021,2021,Mar,Q1,102088
2/22/2021,2021,Feb,Q1,102053
5/18/2021,2021,May,Q2,102138
6/17/2021,2021,Jun,Q2,102168
4/1/2021,2021,Apr,Q2,102091
1/14/2021,2021,Jan,Q1,102014
5/20/2021,2021,May,Q2,102140
2/26/2021,2021,Feb,Q1,102057
4/2/2021,2021,Apr,Q2,102092
4/17/2021,2021,Apr,Q2,102107
2/28/2021,2021,Feb,Q1,102059
12/26/2022,2022,Dec,Q4,103360
4/3/2021,2021,Apr,Q2,102093
4/18/2021,2021,Apr,Q2,102108
3/4/2021,2021,Mar,Q1,102063
3/5/2021,2021,Mar,Q1,102064
1/29/2021,2021,Jan,Q1,102029
1/8/2021,2021,Jan,Q1,102008
1/24/2021,2021,Jan,Q1,102024
1/10/2021,2021,Jan,Q1,102010
1/4/2021,2021,Jan,Q1,102004
1/17/2021,2021,Jan,Q1,102017
1/18/2021,2021,Jan,Q1,102018
1/16/2021,2021,Jan,Q1,102016
1/31/2021,2021,Jan,Q1,102031
1/22/2021,2021,Jan,Q1,102022
1/15/2021,2021,Jan,Q1,102015
1/11/2021,2021,Jan,Q1,102011
2/7/2021,2021,Feb,Q1,102038
2/1/2021,2021,Feb,Q1,102032
2/18/2021,2021,Feb,Q1,102049
3/18/2021,2021,Mar,Q1,102077
4/30/2020,2020,Apr,Q2,101120
3/20/2021,2021,Mar,Q1,102079
1/25/2021,2021,Jan,Q1,102025
3/14/2021,2021,Mar,Q1,102073
4/8/2021,2021,Apr,Q2,102098
4/9/2021,2021,Apr,Q2,102099
4/19/2021,2021,Apr,Q2,102109
4/26/2021,2021,Apr,Q2,102116
11/25/2021,2021,Nov,Q4,102329
12/10/2021,2021,Dec,Q4,102344
12/12/2021,2021,Dec,Q4,102346
12/17/2021,2021,Dec,Q4,102351
12/19/2021,2021,Dec,Q4,102353
12/4/2021,2021,Dec,Q4,102338
12/6/2021,2021,Dec,Q4,102340
11/21/2021,2021,Nov,Q4,102325
12/13/2021,2021,Dec,Q4,102347
12/30/2021,2021,Dec,Q4,102364
12/31/2021,2021,Dec,Q4,102365
12/31/2021,2021,Dec,Q4,103000
11/28/2021,2021,Nov,Q4,102332
12/9/2021,2021,Dec,Q4,102343
12/2/2021,2021,Dec,Q4,102336
12/26/2021,2021,Dec,Q4,102360
12/18/2021,2021,Dec,Q4,102352
12/11/2021,2021,Dec,Q4,102345
12/24/2021,2021,Dec,Q4,102358
11/22/2021,2021,Nov,Q4,102326
12/5/2021,2021,Dec,Q4,102339
11/26/2021,2021,Nov,Q4,102330
12/27/2021,2021,Dec,Q4,102361
12/3/2021,2021,Dec,Q4,102337
12/20/2021,2021,Dec,Q4,102354
11/20/2021,2021,Nov,Q4,102324
11/29/2021,2021,Nov,Q4,102333
12/25/2021,2021,Dec,Q4,102359
12/16/2021,2021,Dec,Q4,102350
12/23/2021,2021,Dec,Q4,102357
11/27/2021,2021,Nov,Q4,102331
7/5/2021,2021,Jul,Q3,102186
11/12/2022,2022,Nov,Q4,103316
12/12/2022,2022,Dec,Q4,103346
9/16/2022,2022,Sep,Q3,103259
12/3/2022,2022,Dec,Q4,103337
10/25/2022,2022,Oct,Q4,103298
11/14/2022,2022,Nov,Q4,103318
11/8/2022,2022,Nov,Q4,103312
12/10/2022,2022,Dec,Q4,103344
11/18/2022,2022,Nov,Q4,103322
10/23/2022,2022,Oct,Q4,103296
11/29/2022,2022,Nov,Q4,103333
12/16/2022,2022,Dec,Q4,103350
12/5/2022,2022,Dec,Q4,103339
11/1/2022,2022,Nov,Q4,103305
9/30/2022,2022,Sep,Q3,103273
11/6/2022,2022,Nov,Q4,103310
10/30/2022,2022,Oct,Q4,103303
10/4/2022,2022,Oct,Q4,103277
12/9/2022,2022,Dec,Q4,103343
11/5/2022,2022,Nov,Q4,103309
9/2/2022,2022,Sep,Q3,103245
9/25/2022,2022,Sep,Q3,103268
11/20/2022,2022,Nov,Q4,103324
9/23/2022,2022,Sep,Q3,103266
10/10/2022,2022,Oct,Q4,103283
10/2/2022,2022,Oct,Q4,103275
11/13/2022,2022,Nov,Q4,103317
10/14/2022,2022,Oct,Q4,103287
10/8/2022,2022,Oct,Q4,103281
12/11/2022,2022,Dec,Q4,103345
12/23/2022,2022,Dec,Q4,103357
12/18/2022,2022,Dec,Q4,103352
11/22/2022,2022,Nov,Q4,103326
9/27/2022,2022,Sep,Q3,103270
8/12/2022,2022,Aug,Q3,103224
10/16/2022,2022,Oct,Q4,103289
6/20/2022,2022,Jun,Q2,103171
11/26/2022,2022,Nov,Q4,103330
11/7/2022,2022,Nov,Q4,103311
9/11/2022,2022,Sep,Q3,103254
12/20/2022,2022,Dec,Q4,103354
11/15/2022,2022,Nov,Q4,103319
9/20/2022,2022,Sep,Q3,103263
11/11/2022,2022,Nov,Q4,103315
7/31/2022,2022,Jul,Q3,103212
8/9/2022,2022,Aug,Q3,103221
7/17/2022,2022,Jul,Q3,103198
9/6/2022,2022,Sep,Q3,103249
10/1/2022,2022,Oct,Q4,103274
10/18/2022,2022,Oct,Q4,103291
10/22/2022,2022,Oct,Q4,103295
4/3/2022,2022,Apr,Q2,103093
11/28/2022,2022,Nov,Q4,103332
12/13/2022,2022,Dec,Q4,103347
10/7/2022,2022,Oct,Q4,103280
5/22/2022,2022,May,Q2,103142
11/19/2022,2022,Nov,Q4,103323
10/9/2022,2022,Oct,Q4,103282
10/24/2022,2022,Oct,Q4,103297
9/10/2022,2022,Sep,Q3,103253
11/21/2022,2022,Nov,Q4,103325
8/19/2022,2022,Aug,Q3,103231
6/25/2022,2022,Jun,Q2,103176
12/24/2022,2022,Dec,Q4,103358
12/17/2022,2022,Dec,Q4,103351
10/15/2022,2022,Oct,Q4,103288
12/2/2022,2022,Dec,Q4,103336
8/21/2022,2022,Aug,Q3,103233
10/11/2022,2022,Oct,Q4,103284
8/23/2022,2022,Aug,Q3,103235
12/4/2022,2022,Dec,Q4,103338
10/29/2022,2022,Oct,Q4,103302
9/13/2022,2022,Sep,Q3,103256
8/16/2022,2022,Aug,Q3,103228
10/31/2022,2022,Oct,Q4,103304
9/17/2022,2022,Sep,Q3,103260
11/25/2022,2022,Nov,Q4,103329
11/4/2022,2022,Nov,Q4,103308
12/6/2022,2022,Dec,Q4,103340
9/19/2022,2022,Sep,Q3,103262
9/12/2022,2022,Sep,Q3,103255
9/5/2022,2022,Sep,Q3,103248
9/24/2022,2022,Sep,Q3,103267
11/27/2022,2022,Nov,Q4,103331
7/23/2022,2022,Jul,Q3,103204
10/17/2022,2022,Oct,Q4,103290
12/19/2022,2022,Dec,Q4,103353
8/20/2022,2022,Aug,Q3,103232
8/13/2022,2022,Aug,Q3,103225
10/3/2022,2022,Oct,Q4,103276
10/21/2022,2022,Oct,Q4,103294
7/25/2022,2022,Jul,Q3,103206
9/26/2022,2022,Sep,Q3,103269
8/22/2022,2022,Aug,Q3,103234
3/26/2022,2022,Mar,Q1,103085
3/6/2022,2022,Mar,Q1,103065
4/1/2022,2022,Apr,Q2,103091
4/17/2022,2022,Apr,Q2,103107
4/8/2022,2022,Apr,Q2,103098
2/6/2022,2022,Feb,Q1,103037
3/21/2022,2022,Mar,Q1,103080
4/22/2022,2022,Apr,Q2,103112
3/4/2022,2022,Mar,Q1,103063
1/25/2022,2022,Jan,Q1,103025
3/25/2022,2022,Mar,Q1,103084
1/29/2022,2022,Jan,Q1,103029
2/25/2022,2022,Feb,Q1,103056
4/11/2022,2022,Apr,Q2,103101
2/21/2022,2022,Feb,Q1,103052
1/28/2022,2022,Jan,Q1,103028
3/11/2022,2022,Mar,Q1,103070
1/9/2022,2022,Jan,Q1,103009
2/27/2022,2022,Feb,Q1,103058
1/10/2022,2022,Jan,Q1,103010
3/14/2022,2022,Mar,Q1,103073
4/5/2022,2022,Apr,Q2,103095
4/10/2022,2022,Apr,Q2,103100
3/20/2022,2022,Mar,Q1,103079
4/12/2022,2022,Apr,Q2,103102
1/31/2022,2022,Jan,Q1,103031
1/17/2022,2022,Jan,Q1,103017
1/8/2022,2022,Jan,Q1,103008
3/8/2022,2022,Mar,Q1,103067
3/1/2022,2022,Mar,Q1,103060
2/15/2022,2022,Feb,Q1,103046
2/8/2022,2022,Feb,Q1,103039
2/12/2022,2022,Feb,Q1,103043
3/27/2022,2022,Mar,Q1,103086
4/15/2022,2022,Apr,Q2,103105
4/2/2022,2022,Apr,Q2,103092
3/18/2022,2022,Mar,Q1,103077
3/13/2022,2022,Mar,Q1,103072
2/4/2022,2022,Feb,Q1,103035
4/9/2022,2022,Apr,Q2,103099
2/14/2022,2022,Feb,Q1,103045
4/16/2022,2022,Apr,Q2,103106
2/20/2022,2022,Feb,Q1,103051
3/29/2022,2022,Mar,Q1,103088
1/7/2022,2022,Jan,Q1,103007
1/22/2022,2022,Jan,Q1,103022
3/5/2022,2022,Mar,Q1,103064
1/16/2022,2022,Jan,Q1,103016
4/18/2022,2022,Apr,Q2,103108
4/4/2022,2022,Apr,Q2,103094
3/22/2022,2022,Mar,Q1,103081
1/21/2022,2022,Jan,Q1,103021
2/22/2022,2022,Feb,Q1,103053
4/19/2022,2022,Apr,Q2,103109
1/15/2022,2022,Jan,Q1,103015
3/15/2022,2022,Mar,Q1,103074
4/23/2022,2022,Apr,Q2,103113
3/12/2022,2022,Mar,Q1,103071
1/23/2022,2022,Jan,Q1,103023
1/2/2022,2022,Jan,Q1,103002
3/19/2022,2022,Mar,Q1,103078
2/19/2022,2022,Feb,Q1,103050
3/7/2022,2022,Mar,Q1,103066
2/28/2022,2022,Feb,Q1,103059
2/26/2022,2022,Feb,Q1,103057
2/5/2022,2022,Feb,Q1,103036
2/13/2022,2022,Feb,Q1,103044
2/1/2022,2022,Feb,Q1,103032
2/7/2022,2022,Feb,Q1,103038
1/30/2022,2022,Jan,Q1,103030
1/14/2022,2022,Jan,Q1,103014
2/18/2022,2022,Feb,Q1,103049
1/11/2022,2022,Jan,Q1,103011
1/18/2022,2022,Jan,Q1,103018
1/3/2022,2022,Jan,Q1,103003
2/11/2022,2022,Feb,Q1,103042
1/24/2022,2022,Jan,Q1,103024
1/4/2022,2022,Jan,Q1,103004
12/28/2021,2021,Dec,Q4,102362
7/29/2022,2022,Jul,Q3,103210
7/24/2022,2022,Jul,Q3,103205
7/15/2022,2022,Jul,Q3,103196
8/2/2022,2022,Aug,Q3,103214
7/8/2022,2022,Jul,Q3,103189
7/22/2022,2022,Jul,Q3,103203
5/23/2022,2022,May,Q2,103143
8/6/2022,2022,Aug,Q3,103218
5/8/2022,2022,May,Q2,103128
8/30/2022,2022,Aug,Q3,103242
4/24/2022,2022,Apr,Q2,103114
7/3/2022,2022,Jul,Q3,103184
7/12/2022,2022,Jul,Q3,103193
7/1/2022,2022,Jul,Q3,103182
5/6/2022,2022,May,Q2,103126
4/26/2022,2022,Apr,Q2,103116
5/27/2022,2022,May,Q2,103147
4/30/2022,2022,Apr,Q2,103120
3/28/2022,2022,Mar,Q1,103087
5/29/2022,2022,May,Q2,103149
8/28/2022,2022,Aug,Q3,103240
5/2/2022,2022,May,Q2,103122
9/4/2022,2022,Sep,Q3,103247
6/3/2022,2022,Jun,Q2,103154
6/18/2022,2022,Jun,Q2,103169
6/5/2022,2022,Jun,Q2,103156
5/13/2022,2022,May,Q2,103133
8/8/2022,2022,Aug,Q3,103220
7/11/2022,2022,Jul,Q3,103192
9/3/2022,2022,Sep,Q3,103246
8/5/2022,2022,Aug,Q3,103217
6/12/2022,2022,Jun,Q2,103163
4/29/2022,2022,Apr,Q2,103119
9/9/2022,2022,Sep,Q3,103252
9/18/2022,2022,Sep,Q3,103261
6/24/2022,2022,Jun,Q2,103175
6/10/2022,2022,Jun,Q2,103161
5/7/2022,2022,May,Q2,103127
5/15/2022,2022,May,Q2,103135
7/26/2022,2022,Jul,Q3,103207
8/14/2022,2022,Aug,Q3,103226
7/10/2022,2022,Jul,Q3,103191
5/1/2022,2022,May,Q2,103121
5/11/2022,2022,May,Q2,103131
7/5/2022,2022,Jul,Q3,103186
7/19/2022,2022,Jul,Q3,103200
5/17/2022,2022,May,Q2,103137
6/13/2022,2022,Jun,Q2,103164
5/10/2022,2022,May,Q2,103130
5/31/2022,2022,May,Q2,103151
6/7/2022,2022,Jun,Q2,103158
5/14/2022,2022,May,Q2,103134
6/26/2022,2022,Jun,Q2,103177
6/17/2022,2022,Jun,Q2,103168
7/30/2022,2022,Jul,Q3,103211
7/2/2022,2022,Jul,Q3,103183
8/7/2022,2022,Aug,Q3,103219
4/25/2022,2022,Apr,Q2,103115
6/21/2022,2022,Jun,Q2,103172
7/9/2022,2022,Jul,Q3,103190
5/3/2022,2022,May,Q2,103123
5/16/2022,2022,May,Q2,103136
8/1/2022,2022,Aug,Q3,103213
6/19/2022,2022,Jun,Q2,103170
7/16/2022,2022,Jul,Q3,103197
6/4/2022,2022,Jun,Q2,103155
4/7/2022,2022,Apr,Q2,103097
8/27/2022,2022,Aug,Q3,103239
5/24/2022,2022,May,Q2,103144
7/4/2022,2022,Jul,Q3,103185
6/14/2022,2022,Jun,Q2,103165
7/18/2022,2022,Jul,Q3,103199
8/29/2022,2022,Aug,Q3,103241
10/28/2022,2022,Oct,Q4,103301
6/11/2022,2022,Jun,Q2,103162
5/28/2022,2022,May,Q2,103148
5/9/2022,2022,May,Q2,103129
6/6/2022,2022,Jun,Q2,103157
8/15/2022,2022,Aug,Q3,103227
5/21/2022,2022,May,Q2,103141
5/30/2022,2022,May,Q2,103150
6/15/2022,2022,Jun,Q2,103166
1/6/2021,2021,Jan,Q1,102006
1/5/2021,2021,Jan,Q1,102005
12/31/2020,2020,Dec,Q4,101365
12/30/2020,2020,Dec,Q4,101364
12/29/2020,2020,Dec,Q4,101363
12/28/2020,2020,Dec,Q4,101362
12/27/2020,2020,Dec,Q4,101361
12/24/2020,2020,Dec,Q4,101358
12/23/2020,2020,Dec,Q4,101357
12/22/2020,2020,Dec,Q4,101356
12/21/2020,2020,Dec,Q4,101355
12/20/2020,2020,Dec,Q4,101354
12/17/2020,2020,Dec,Q4,101351
12/16/2020,2020,Dec,Q4,101350
12/15/2020,2020,Dec,Q4,101349
12/14/2020,2020,Dec,Q4,101348
12/10/2020,2020,Dec,Q4,101344
12/9/2020,2020,Dec,Q4,101343
12/8/2020,2020,Dec,Q4,101342
12/7/2020,2020,Dec,Q4,101341
12/6/2020,2020,Dec,Q4,101340
12/3/2020,2020,Dec,Q4,101337
12/1/2020,2020,Dec,Q4,101335
12/2/2020,2020,Dec,Q4,101336
11/30/2020,2020,Nov,Q4,101334
11/29/2020,2020,Nov,Q4,101333
11/24/2020,2020,Nov,Q4,101328
11/22/2020,2020,Nov,Q4,101326
11/12/2020,2020,Nov,Q4,101316
11/16/2020,2020,Nov,Q4,101320
11/19/2020,2020,Nov,Q4,101323
11/2/2020,2020,Nov,Q4,101306
11/1/2020,2020,Nov,Q4,101305
11/8/2020,2020,Nov,Q4,101312
11/3/2020,2020,Nov,Q4,101307
10/27/2020,2020,Oct,Q4,101300
10/13/2020,2020,Oct,Q4,101286
10/11/2020,2020,Oct,Q4,101284
8/4/2020,2020,Aug,Q3,101216
